date;Amazon Shopping;Android System;Biblioapp UdeA;Bing;Calculator;Calculator_1;Calendar;Call Management;Camera;Camera_2;CamScanner;CaptivePortalLogin;Certificate Installer;Chrome;Cívica;Classroom;Clock;com.academia.academia;com.actiasystems.bolivariano;com.activision.callofduty.shooter;com.chatbot.ai.aichat.openaibot.chat;com.evernote;com.goodev.volume.booster;com.hellotalk;com.ht2.stick.hero;com.mcdonalds.app;com.netflix.mediaclient;com.pluralsight;com.sleepmonitor.aio;com.vishva.kaggle;com.vivaair.viva_web_view;Compass;Contacts;Data Science;DataCamp;DeepL;DeepSkyCamera Beta;Device Help;Discord;Distill;Docs;Dolby Audio;Drive;Dual SIM Settings;Edge;EnglishScore;Files;Fiverr;FM Radio;Focus To-Do;Freelancer;GitHub;Gmail;Google;Google News;Google Opinion Rewards;Google Play Games;Google Play services;Google Play Store;Graphing Calc;Ground News;HBO MAX;Hopper;HTML Viewer;in.redbus.android;Instagram;Instagram Lite;Ipynb Viewer;ISS Detector;it.rortos.realflightsimulator;Key Chain;Lightroom;LinkedIn;Maps;Market Feedback Agent;McDonald's;Medium;Meet (original);Mercado Libre;Mi Tigo;Microsoft 365 (Office);Microsoft SwiftKey Keyboard;Moto;Moto Actions and Gestures;Moto App Launcher;Moto Display;Moto Key;Moto Suggestions;Moto Voice (Beta);Motorola Notifications;Motorola Settings;Motorola Update Services;Mundo TIGO;My Moon Phase;Nequi Colombia;net.tandem;Notion;OneDrive;Package installer;PayPal;Phone;Phone Services;Photomath;Photos;PictureThis;Platzi;Power BI;Print Spooler;Pydroid 3;Rappi;RC FPV;School Planner;Send Anywhere;Settings;Settings Suggestions;Shazam;Sheets;SIATA;SimCity;Sleepy;Snapseed;Sololearn;Spotify;Stellarium;Sticker Maker;Stockage multimédia;SUSH;Symbolab;System UI;Tasks;Tasks_3;Teams;Telegram;TikTok;Trii;Truecaller;Twitch;Twitter;tyba;Upwork Talent;VpnDialogs;Wallpapers;WhatsApp;YouTube;YouTube Music;Zoom
2022-10-27 00:00:00,000;0;1;0;0;19;0;1;0;0;2;0;3;0;30;0;2;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;71;12;0;0
2022-10-28 00:00:00,000;0;1;0;0;1;0;0;0;0;1;0;1;0;15;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;197;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;3;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;20;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;15;0;0
2022-10-29 00:00:00,000;0;0;0;0;7;0;0;0;0;1;0;9;0;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;11;0;0;0;0;0;0;0;0;17;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;115;22;0;0
2022-10-30 00:00:00,000;0;0;0;0;2;0;0;0;0;1;0;0;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;4;0;0;0;0;0;0;32;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;3;0;3;0;6;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;109;5;0;0
2022-10-31 00:00:00,000;0;1;0;0;0;0;0;0;0;3;0;5;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;18;0;0;0;0;0;0;0;0;24;0;0;0;0;6;0;0;0;0;0;0;0;8;0;0;0;0;0;0;104;6;0;0
2022-11-01 00:00:00,000;0;2;0;0;0;0;1;0;0;5;0;3;0;22;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;15;8;2;6;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;262;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;9;0;0
2022-11-02 00:00:00,000;0;0;0;0;3;1;1;0;1;0;0;4;0;46;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;18;0;0;0;4;0;0;0;0;0;9;7;2;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;369;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;7;0;7;0;0;1;0;0;0;0;0;2;0;0;0;0;27;0;9;0;0;0;0;0;2;0;0;0;0;0;0;164;5;0;0
2022-11-03 00:00:00,000;0;0;0;0;2;1;0;0;0;2;0;0;0;20;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0;0;0;0;262;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;52;1;0;0;0;1;0;5;0;0;0;0;0;1;0;0;0;0;0;0;130;8;0;0
2022-11-04 00:00:00,000;0;2;0;0;2;0;0;0;1;4;0;0;0;16;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;8;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;34;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;102;5;0;0
2022-11-06 00:00:00,000;0;4;0;0;1;0;0;0;9;50;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;4;7;0;0;0;3;0;0;0;0;0;0;43;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;380;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;1;0;17;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;76;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;175;5;0;0
2022-11-07 00:00:00,000;0;2;0;0;0;1;0;0;0;4;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;1;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;15;0;0
2022-11-08 00:00:00,000;0;0;0;0;13;5;0;0;0;6;0;0;0;18;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;2;1;12;0;0;0;1;1;0;0;0;0;0;37;0;0;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;348;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;2;0;0;29;1;0;1;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;168;4;0;0
2022-11-09 00:00:00,000;0;1;2;0;1;1;0;0;0;2;0;0;0;34;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;4;5;5;3;0;0;6;0;0;0;0;0;0;38;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;361;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;48;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;182;6;0;0
2022-11-10 00:00:00,000;0;0;0;0;4;0;0;0;0;5;0;0;0;17;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;6;2;0;0;5;2;0;0;0;0;0;0;45;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;3;0;0;0;5;0;0;0;0;28;0;0;0;0;2;6;2;0;0;0;0;0;2;0;0;0;0;0;0;158;2;0;0
2022-11-11 00:00:00,000;0;1;0;0;0;0;0;0;0;1;0;1;0;31;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;1;0;17;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;148;1;0;0
2022-11-12 00:00:00,000;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;118;6;0;0
2022-11-13 00:00:00,000;0;0;0;0;1;0;0;0;0;4;0;0;0;19;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;4;2;0;0;2;2;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;297;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;6;0;0
2022-11-14 00:00:00,000;0;0;0;0;2;0;0;0;0;4;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;44;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;262;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;0;0;0
2022-11-15 00:00:00,000;0;2;0;0;4;0;0;0;0;3;0;3;0;24;0;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;12;7;7;1;0;1;2;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;44;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;80;12;0;0
2022-11-16 00:00:00,000;1;1;0;0;0;0;0;0;0;3;0;2;0;18;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;1;1;6;0;0;1;2;0;0;0;0;0;0;33;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;5;0;0;1;0;20;1;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;53;3;0;0
2022-11-17 00:00:00,000;5;1;0;0;9;3;1;0;0;1;0;3;0;16;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;4;7;4;0;2;1;0;0;0;0;0;0;23;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;178;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;7;0;0;0;4;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;8;0;0
2022-11-18 00:00:00,000;1;1;0;0;0;0;0;0;0;2;0;2;0;11;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;1;0;0;0;0;0;24;5;2;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;21;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;64;2;0;0
2022-11-19 00:00:00,000;0;0;0;0;5;3;0;0;0;1;0;0;0;21;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;4;0;0;0;0;0;0;36;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;175;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;7;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2;18;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;69;3;0;0
2022-11-20 00:00:00,000;4;1;0;0;2;0;0;0;0;2;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;3;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;28;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;53;11;0;0
2022-11-22 00:00:00,000;7;0;0;0;3;0;1;0;0;4;0;0;0;11;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;5;7;3;0;2;1;0;0;0;0;0;0;59;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;13;0;0
2022-11-23 00:00:00,000;0;1;0;0;6;0;2;0;0;0;0;0;0;9;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;2;0;0;0;0;0;2;2;7;0;0;0;0;13;1;0;0;0;0;52;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;315;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;51;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;153;5;0;0
2022-11-25 00:00:00,000;4;1;0;0;4;0;0;0;0;6;0;4;0;14;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5;3;2;0;0;0;2;0;1;0;0;0;0;31;0;0;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;2;0;0
2022-11-26 00:00:00,000;19;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;1;3;0;0;0;0;0;0;0;0;1;1;4;1;0;0;0;2;0;0;0;0;0;60;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;9;0;0;0;0;0;0;122;1;0;0
2022-12-13 00:00:00,000;0;8;0;0;0;0;0;0;2;10;0;0;0;8;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;2;1;3;0;0;0;3;0;2;0;0;0;0;70;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;1;0;1;0;0;3;1;0;0;0;0;35;1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;120;2;0;0
2022-12-15 00:00:00,000;0;0;0;0;0;0;1;0;0;3;0;0;0;9;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;5;2;1;0;0;0;0;0;0;0;0;0;0;88;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;170;2;0;0
2022-12-16 00:00:00,000;0;2;0;0;0;0;0;0;0;10;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;3;0;7;0;0;0;2;0;0;0;0;0;0;9;0;2;0;0;2;0;2;0;0;0;0;50;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;3;0;17;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;146;6;0;0
2022-12-17 00:00:00,000;0;0;0;0;2;0;0;0;1;3;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;159;4;0;0
2022-12-18 00:00:00,000;0;0;0;0;0;0;0;0;1;1;0;0;0;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;1;0;0;0;1;3;0;3;0;4;15;0;0;1;0;0;0;55;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281;0;0;0;0;0;0;0;1;0;0;3;0;0;3;0;2;0;0;5;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;20;0;0;0;0;0;0;0;0;0;17;0;0;7;0;0;0;0;0;0;118;15;0;0
2022-12-20 00:00:00,000;0;2;0;0;0;0;0;0;1;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;2;6;0;0;0;0;0;2;40;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;255;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;112;7;0;0
2022-12-21 00:00:00,000;0;2;0;0;0;0;2;0;0;0;0;0;0;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;1;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;27;0;0;0;0;0;2;12;0;0;9;0;0;3;0;5;0;0;0;0;62;11;0;0
2022-12-22 00:00:00,000;0;0;0;0;1;0;0;0;0;4;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;1;5;0;0;0;0;0;0;56;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;256;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;28;0;0;0;0;0;2;4;0;0;3;0;0;0;0;12;0;0;0;0;92;6;0;0
