date;bing.com;chat.openai.com;classroom.google.com;colab.research.google.com;docs.google.com;drive.google.com;es.symbolab.com;freelancer.com.co;github.com;google.com;hbomax.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;meet.google.com;netflix.com;overleaf.com;photos.google.com;portals.wetransfer.com;primevideo.com;rutan-medellin.udemy.com;stackoverflow.com;udea.edu.co;upwork.com;whatsapp.com;wolframalpha.com;youtube.com;total_usage
2023-06-25;7.07;3.42;0.0;0.0;0.0;0.0;0.07;0.0;2.0;0.2;0.05;4.73;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;2.12;0.0;206.75;9.57;0.33;135.5;372.01
2023-06-26;3.45;4.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.62;30.62;2.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.15;13.72;0.0;14.58;73.29
2023-06-27;11.47;13.55;0.0;0.0;1.53;0.0;0.0;0.0;27.63;0.32;115.72;0.0;0.0;0.0;3.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23;1.05;9.13;7.6;0.0;42.02;233.72
2023-06-28;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08;0.0;0.0;2.87;0.0;42.47;46.019999999999996
2023-06-29;3.85;2.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;29.02;0.0;0.12;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.82;3.1;12.25;0.0;78.37;151.65
2023-06-30;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.64
2023-07-01;8.68;1.33;0.0;0.0;0.0;0.68;0.0;0.0;0.73;0.58;52.03;22.3;0.0;0.0;0.83;0.0;0.0;0.0;0.0;4.62;0.0;0.0;0.0;0.03;7.65;4.62;0.0;226.0;330.08000000000004
2023-07-02;10.93;4.33;0.0;0.0;0.0;0.0;0.0;0.0;1.67;5.43;0.0;16.57;13.97;0.0;0.0;0.0;0.0;0.0;0.0;75.03;0.0;0.0;1.72;0.37;0.0;6.85;0.0;46.52;183.39000000000001
2023-07-03;8.45;2.72;0.0;0.0;0.0;0.0;0.0;0.0;0.85;0.12;0.0;11.45;0.0;0.0;2.17;0.0;0.0;0.0;0.0;29.23;0.0;0.0;0.3;1.63;0.0;11.22;0.0;29.0;97.14
2023-07-04;4.0;7.03;0.0;0.0;0.0;0.0;0.0;0.0;0.95;0.52;0.0;16.25;2.47;3.25;4.93;0.0;0.0;49.55;0.0;22.98;0.0;0.0;0.0;0.55;2.38;2.07;0.0;33.8;150.72999999999996
2023-07-05;11.95;19.08;0.0;0.0;0.0;0.0;0.0;0.0;20.28;1.13;0.0;0.0;30.42;24.05;3.12;0.0;0.0;37.1;0.0;4.58;0.0;0.0;6.0;6.28;0.0;4.6;0.0;48.05;216.64000000000004
2023-07-06;2.7;20.07;0.0;18.0;0.35;5.1;0.0;0.0;5.85;3.78;0.0;10.9;0.0;9.88;0.18;0.0;0.0;0.0;0.0;30.57;0.0;0.0;0.0;0.0;0.45;7.55;0.0;161.27;276.65
2023-07-07;8.75;21.48;0.0;0.0;0.28;0.12;0.0;0.0;6.65;0.68;0.0;21.22;0.0;15.3;0.5;0.0;0.0;0.0;0.0;23.68;0.0;0.0;5.15;0.0;0.0;9.37;0.0;143.63;256.81
2023-07-08;3.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23;0.38;0.0;14.27;0.0;0.03;0.27;0.0;0.0;0.0;0.0;33.93;0.0;0.0;0.0;0.08;0.0;12.15;0.0;21.83;86.72
2023-07-09;2.03;8.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.0;0.85;0.0;0.38;0.32;0.0;0.0;0.0;0.0;68.27;0.0;0.0;0.47;0.0;0.0;11.55;0.0;146.08;238.57
2023-07-10;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.43;0.0;0.0;0.0;1.75;0.0;0.98;0.0;0.0;18.34
2023-07-11;0.73;1.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17;0.0;1.6;0.0;1.02;0.25;0.0;0.0;0.0;0.0;12.85;0.0;0.0;0.0;1.53;0.0;1.25;0.0;0.0;20.830000000000002
2023-07-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.97
2023-07-13;3.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.93;0.0;0.0;0.0;0.0;0.0;35.77;0.0;0.1;0.0;0.0;0.0;8.9;0.0;36.77;85.99000000000001
2023-07-14;3.37;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.15;0.0;0.0;0.15;0.13;0.0;0.0;0.0;12.4;0.0;26.6;0.0;0.0;0.0;0.37;0.0;5.82;0.0;0.0;51.89
2023-07-15;0.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.77
2023-07-16;1.3;9.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08;0.0;0.0;27.32;0.0;0.0;0.0;0.0;0.0;0.0;6.53;0.0;0.0;0.38;0.0;0.0;0.0;0.0;51.55;96.36
2023-07-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48;0.6;0.0;0.0;0.0;0.0;15.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.86
2023-07-18;3.4;10.98;0.0;0.0;0.0;0.0;0.0;0.0;3.38;0.12;0.0;7.92;1.7;0.0;5.2;0.0;0.0;0.0;0.0;0.83;0.0;0.0;3.22;4.15;1.92;22.15;0.0;129.3;194.27
2023-07-19;5.82;11.77;0.0;0.0;0.13;0.0;0.0;0.0;5.6;4.53;0.0;9.15;0.0;0.0;2.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7;7.77;0.0;5.87;0.0;98.98;154.34
2023-07-20;16.85;7.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27;0.0;18.35;0.0;0.0;1.48;0.0;0.0;0.0;0.0;0.0;0.58;0.0;0.0;0.0;17.38;1.43;0.0;108.13;171.76999999999998
2023-07-21;8.82;20.82;0.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;25.38;0.0;0.0;0.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.3;0.0;0.0;0.12;0.0;135.52;202.34000000000003
2023-07-22;2.83;18.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.55;162.08;0.0;2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.52;2.4;0.0;0.17;0.0;65.95;259.75
2023-07-23;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;130.12;0.0;0.0;0.0;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;136.25;267.06
2023-07-24;0.7;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.23;11.55;0.0;6.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.65;0.0;12.18;0.0;23.43;64.94
2023-07-25;0.0;2.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.87
2023-07-26;4.0;23.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22;0.0;6.53;0.0;0.0;0.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;13.27;0.0;0.0;73.53;121.71
2023-07-27;2.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.82;0.0;0.0;0.0;0.0;0.0;3.47;0.0;0.0;0.0;0.0;0.0;0.0;0.05;2.15;0.83;0.0;0.0;0.0;0.0;10.639999999999999
2023-07-28;9.18;23.28;0.0;0.0;0.0;0.0;0.0;0.0;8.33;0.47;0.0;0.93;15.78;112.3;0.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27;0.0;69.4;9.43;0.0;70.12;320.21000000000004
2023-07-29;9.27;10.57;0.0;0.0;0.0;0.0;0.0;0.0;0.43;7.67;73.62;5.17;70.17;1.62;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.12;5.57;0.92;0.0;35.07;224.6
2023-07-30;7.58;32.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.25;114.63;8.33;0.0;14.13;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.65;0.0;21.17;7.57;0.0;259.67;483.93
2023-07-31;2.02;2.77;0.0;0.0;0.62;3.9;0.0;0.0;0.0;0.1;0.0;3.33;0.0;0.0;4.97;0.0;0.0;0.0;0.0;0.0;0.0;23.55;0.0;1.65;5.95;3.47;0.0;5.7;58.03000000000001
2023-08-01;4.57;1.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;1.73;0.0;0.0;0.0;0.0;0.0;0.0;39.67;0.0;0.0;1.25;1.08;0.0;11.8;61.510000000000005
2023-08-02;3.15;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.48;0.0;0.0;2.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38;19.23
2023-08-03;0.95;2.03;0.0;0.0;0.43;0.0;0.0;0.0;0.0;0.05;0.0;5.4;0.0;0.0;1.15;0.0;0.0;0.0;0.0;0.0;0.0;47.55;0.0;0.05;0.0;0.0;0.0;0.0;57.60999999999999
2023-08-04;0.73;0.0;0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.95;0.0;0.0;0.65;0.0;0.0;0.0;0.0;0.0;0.0;44.55;0.0;0.0;0.0;0.6;0.0;43.02;98.63
2023-08-05;3.12;1.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;7.35;0.0;0.0;0.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.78;0.17;0.0;113.37;138.05
2023-08-06;3.45;3.42;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.55;0.0;1.65;2.72;0.0;3.38;0.0;0.0;0.0;0.0;0.0;0.0;22.43;0.0;0.58;0.0;4.13;0.0;215.73;258.64
2023-08-07;3.47;2.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.28;7.65;0.0;0.0;3.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.63;0.0;45.03;131.59
2023-08-08;1.57;0.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27;0.0;1.6;0.53;0.0;0.0;0.0;0.0;0.0;0.0;59.67;0.0;0.0;0.0;2.48;0.0;22.35;89.04000000000002
2023-08-09;0.27;0.0;0.28;0.0;0.0;0.0;0.0;0.0;2.05;0.0;0.0;3.33;0.0;0.0;1.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.4;23.349999999999998
2023-08-10;1.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.82;0.07;0.0;0.77;0.0;0.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;44.05;51.64
2023-08-11;0.83;0.0;0.0;0.0;2.57;0.0;0.0;0.0;0.0;0.0;88.5;1.57;0.0;0.0;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.32;100.97
2023-08-12;9.35;123.02;0.05;0.0;0.73;1.42;0.0;0.0;6.72;0.0;83.67;18.85;0.0;0.0;1.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.9;0.0;0.0;15.08;0.0;50.65;318.09
2023-08-13;10.02;55.33;6.15;0.0;91.88;0.0;0.0;0.0;0.47;0.12;83.93;6.27;8.65;0.0;1.33;0.0;0.0;1.27;0.0;0.0;0.0;0.0;4.22;0.0;0.0;1.48;5.33;134.73;411.17999999999995
2023-08-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-08-16;3.8;9.17;16.88;0.0;5.88;0.97;0.0;0.0;0.78;0.02;0.0;1.67;0.0;0.0;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.05;0.0;0.0;7.4;0.0;120.07;172.48999999999998
2023-08-17;0.52;0.0;0.0;0.0;0.0;2.9;0.0;0.0;0.0;0.05;0.0;15.52;0.0;0.0;6.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0;2.02;0.0;87.37;114.86
2023-08-18;1.6;0.4;0.0;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.72;10.040000000000001
2023-08-19;3.32;17.53;4.2;3.62;1.53;10.17;0.0;0.0;4.23;0.1;101.67;3.02;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;5.52;0.0;97.43;253.91000000000003
2023-08-20;10.73;10.4;2.35;3.12;0.0;7.25;0.0;0.0;18.97;0.0;84.92;1.43;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.97;0.0;0.0;20.43;0.0;136.42;302.39
2023-08-21;4.83;1.83;0.0;0.0;0.0;0.0;0.0;0.0;1.55;0.03;73.75;24.38;0.0;0.0;0.87;0.0;0.0;0.0;4.93;0.0;0.0;0.0;1.53;0.0;0.0;5.6;0.0;185.73;305.03
2023-08-22;6.27;0.0;0.0;0.0;0.0;15.45;0.0;0.0;0.0;0.0;23.4;2.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.57;0.38;101.3;150.49
2023-08-23;0.57;1.52;0.57;0.0;8.23;0.0;0.0;0.0;3.53;0.0;0.0;0.0;0.12;0.03;5.35;0.0;0.0;0.0;1.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.05;75.14999999999999
2023-08-24;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.08;0.0;6.53;0.0;1.48;11.91
2023-08-25;2.47;13.12;0.78;0.0;0.0;8.13;1.95;0.0;0.0;0.9;23.17;19.58;0.0;0.0;3.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.7;3.97;123.42;209.62
2023-08-26;1.88;0.0;0.0;0.0;0.0;9.37;6.72;0.0;0.0;0.0;90.05;6.58;0.0;0.0;1.07;0.0;0.0;0.0;1.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.38;183.57;302.87
2023-08-27;9.13;25.13;15.48;0.0;0.15;28.42;6.62;0.0;6.23;0.02;100.67;0.1;0.0;0.0;0.3;0.0;0.0;0.0;45.17;0.0;0.0;0.0;1.15;0.0;0.0;7.98;20.33;58.67;325.55
2023-08-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
2023-08-31;3.63;11.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.6;5.42;2.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.53;0.0;0.0;3.02;0.0;79.92;162.43
2023-09-01;1.87;0.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23;0.0;0.0;0.0;0.0;0.0;1.07;0.0;0.2;0.0;14.85;18.95
2023-09-02;7.75;20.62;5.23;0.0;0.42;0.27;0.0;0.0;9.87;0.08;49.53;4.23;0.0;0.0;3.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.48;0.03;0.0;29.1;0.0;187.75;322.63
2023-09-03;16.1;21.85;18.75;1.88;2.3;4.55;0.0;0.0;13.95;0.05;69.25;8.35;0.0;0.0;1.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2;0.0;0.0;34.03;18.17;150.68;365.38
2023-09-04;7.43;1.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9;1.2;0.0;12.36
2023-09-05;3.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.77;15.6;0.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.43;6.7;106.77;139.28
2023-09-06;6.55;1.12;0.0;0.0;0.0;0.85;0.0;0.0;0.45;1.25;33.23;3.45;0.0;0.0;0.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.32;2.03;155.05;205.85000000000002
2023-09-07;0.9;19.93;0.0;0.0;0.0;1.12;0.0;0.0;0.45;0.0;0.0;0.0;0.0;0.0;0.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.23;0.0;0.0;5.9;0.0;60.65;92.53
2023-09-09;5.3;13.3;8.43;2.07;0.0;1.97;0.0;0.0;11.77;0.0;86.98;24.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.62;1.62;0.0;15.37;0.0;261.52;443.42999999999995
2023-09-10;1.45;4.9;4.18;9.75;0.0;7.85;0.0;0.0;29.45;0.0;60.22;0.53;0.0;0.0;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.15;3.05;0.0;28.75;0.0;206.13;361.88
2023-09-11;0.42;0.0;3.23;11.05;0.0;4.45;0.0;0.0;5.43;0.0;10.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.97;5.5;0.0;42.22
2023-09-12;0.0;0.0;0.0;0.0;0.0;5.2;0.0;0.0;0.0;0.0;31.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.57;38.14
2023-09-13;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.58;67.53
2023-09-15;0.55;0.0;0.0;0.0;0.0;7.55;0.0;0.0;0.0;0.0;20.57;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.17;86.34
2023-09-16;3.57;3.92;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.12;172.23;30.63;0.0;1.13;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.22;0.0;5.53;0.88;150.22;404.53999999999996
2023-09-17;4.83;2.47;0.0;0.0;0.0;43.6;0.0;0.0;0.0;0.52;72.65;3.4;0.0;0.0;2.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.22;3.88;105.3;249.3
2023-09-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.57;0.0;0.0;0.0;0.0;20.04
2023-09-19;11.85;7.85;0.0;0.0;0.0;15.05;0.0;0.0;0.0;0.0;42.13;8.45;0.0;0.0;0.0;0.0;0.0;0.0;13.55;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.0;36.73;135.94
2023-09-20;1.53;0.0;0.0;0.0;0.0;0.08;0.0;0.0;0.0;0.1;57.62;12.62;0.0;1.8;1.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.55;0.0;1.18;103.35000000000001
2023-09-21;9.83;0.0;0.0;0.0;0.0;3.95;0.0;0.0;0.0;0.0;13.77;1.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48;0.0;44.95;74.55000000000001
2023-09-22;1.2;0.82;0.0;0.0;0.0;4.67;0.0;0.0;19.52;0.08;21.02;2.07;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.82;0.0;0.0;61.35;0.0;170.78;282.73
2023-09-23;11.2;18.3;0.0;94.08;0.0;42.47;0.0;0.0;42.98;0.77;0.0;0.3;0.0;0.0;1.53;543.52;0.0;0.57;0.0;0.0;0.0;0.0;2.33;0.07;0.0;19.6;0.0;112.82;890.5400000000002
2023-09-24;3.9;30.2;2.43;20.8;0.03;17.97;0.45;0.0;18.07;0.42;37.18;4.68;0.0;0.0;1.45;367.4;0.0;167.87;0.0;0.0;0.0;0.0;1.82;0.92;2.65;24.1;0.55;204.53;907.4199999999998
2023-09-25;3.43;8.12;0.0;0.0;0.0;17.93;5.68;0.0;0.0;0.0;0.0;3.02;0.0;0.0;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.88;0.0;119.5;162.03
2023-09-26;3.1;0.58;21.07;0.0;0.0;7.87;0.0;0.0;4.85;0.0;0.0;5.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.68;0.0;134.22;178.55
2023-09-27;3.13;5.5;2.6;0.27;0.0;5.6;3.48;0.0;0.25;0.0;0.0;28.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.83;0.0;0.0;19.87;0.0;79.42;153.88
