date;play.hbomax.com;platzi.com;pomofocus.io;disneyplus.com;docs.google.com;mail.google.com;instagram.com;kaggle.com;linkedin.com;geogebra.org;github.com;google.com;canva.com;calendar.google.com;web.whatsapp.com;twitter.com;udea.edu.co;chat.openai.com;colab.research.google.com;starplus.com;skribbl.io;youtube.com;wolframalpha.com
2022-10-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-01-21;0.0;47.27;0.62;0.0;0.0;0.8;3.5;0.0;1.12;0.0;6.33;6.77;0.0;0.5;9.27;16.22;0.0;8.98;17.17;0.0;0.0;62.2;0.0
2023-01-22;45.15;0.0;0.0;0.0;0.0;2.97;0.0;0.0;9.77;0.0;4.07;0.75;0.0;3.17;0.75;6.95;0.0;4.88;0.0;0.0;0.0;25.68;0.0
2023-01-23;0.0;0.0;0.0;0.0;0.0;11.83;4.8;0.38;9.37;0.0;29.63;8.88;0.0;0.53;17.57;4.3;3.52;28.65;0.0;0.0;51.2;76.3;0.0
2023-01-24;0.0;43.47;0.0;0.0;1.48;6.23;3.55;0.0;3.42;0.0;5.03;12.8;0.0;29.77;33.42;7.18;19.15;7.87;0.0;0.0;0.0;22.9;0.0
2023-01-25;0.0;0.0;0.0;0.0;0.6;5.17;4.55;0.0;44.93;0.0;5.78;11.53;0.0;11.28;25.35;21.43;26.97;9.13;0.0;0.0;26.25;88.43;0.0
2023-01-26;1.07;32.13;0.0;0.0;0.0;3.75;5.45;11.7;12.97;0.0;8.03;5.3;0.0;1.43;5.6;6.93;2.27;6.55;8.37;0.0;0.0;18.73;0.0
2023-01-27;42.33;0.28;0.0;0.0;0.0;9.15;5.08;5.72;3.52;0.0;53.12;14.72;7.5;0.0;17.83;2.62;3.9;27.72;0.98;0.0;29.97;34.8;0.0
2023-01-28;48.18;15.73;0.0;0.0;0.0;6.35;4.33;0.0;11.3;0.0;1.63;8.67;0.0;1.87;8.45;8.27;0.0;22.53;0.0;0.0;0.0;90.25;0.0
2023-01-29;0.0;47.67;0.0;0.0;0.0;4.27;13.73;0.0;0.63;0.0;1.7;10.77;0.0;0.0;6.08;0.0;0.0;12.42;21.27;0.0;0.0;51.32;0.0
2023-01-30;39.15;0.0;0.0;0.0;0.0;10.0;4.85;0.58;4.85;0.0;17.63;13.72;0.0;5.17;32.3;0.75;2.85;11.42;8.3;0.0;19.13;59.52;0.0
2023-01-31;0.0;0.0;0.0;0.0;0.0;1.33;14.62;0.0;2.2;0.0;0.22;3.73;0.0;0.0;4.45;4.18;0.0;0.0;0.0;0.0;0.0;8.45;0.0
2023-02-01;0.0;8.68;0.0;0.0;0.0;5.65;1.18;0.0;0.32;0.0;0.6;3.0;0.0;1.88;52.57;0.0;3.68;1.85;3.38;0.0;0.0;16.58;0.0
2023-02-02;0.0;0.0;0.0;0.0;5.48;2.0;0.0;0.0;0.0;0.0;0.0;1.3;0.0;1.83;7.1;0.0;0.0;1.88;0.0;0.0;0.0;0.0;0.0
2023-02-03;0.0;4.02;0.0;0.0;0.88;3.62;6.27;0.0;26.18;0.0;13.98;7.18;0.0;30.0;35.8;7.12;29.23;8.87;0.0;0.0;17.23;43.52;0.0
2023-02-04;0.0;0.0;0.0;0.0;0.0;7.65;6.25;0.0;3.57;0.0;0.48;15.9;23.18;10.67;12.28;12.33;0.7;10.98;0.0;0.0;0.0;44.78;0.0
2023-02-05;0.0;0.0;0.0;0.0;0.0;1.67;1.9;0.0;67.43;0.0;34.5;4.77;0.0;2.23;1.03;21.68;0.0;4.62;0.0;0.0;0.0;32.78;0.0
2023-02-06;7.13;0.0;0.0;0.0;0.2;2.27;3.03;3.68;12.97;0.0;0.25;5.45;0.0;10.5;11.8;8.68;2.38;2.48;6.57;0.0;0.0;29.67;0.0
2023-02-07;0.0;0.0;25.25;0.0;0.0;5.13;0.0;28.8;6.0;8.42;0.57;5.85;0.0;1.82;3.33;6.97;0.68;34.03;2.1;0.0;0.0;2.73;5.58
2023-02-08;0.0;0.0;0.0;0.0;0.0;7.35;0.0;40.6;1.88;0.0;0.0;3.67;0.0;18.52;23.67;4.2;0.6;11.4;0.0;0.0;0.0;5.85;0.0
2023-02-09;0.0;0.0;45.02;0.0;0.12;3.93;8.48;12.42;0.0;26.47;0.0;17.05;0.0;4.45;6.08;0.0;0.08;4.95;3.7;0.0;0.0;52.87;0.0
2023-02-10;0.0;0.0;1.23;0.0;0.17;4.42;1.1;28.23;0.27;0.0;1.68;17.78;0.0;3.95;38.08;0.0;0.0;25.88;17.12;0.0;0.0;60.3;0.0
2023-02-11;19.67;0.0;0.0;0.0;0.0;26.6;0.0;9.05;0.0;0.0;0.03;4.63;0.0;0.0;13.12;0.0;0.0;40.52;24.78;0.0;0.0;12.27;0.0
2023-02-12;0.0;0.0;22.08;0.0;0.0;1.63;0.0;0.92;15.63;2.35;0.13;3.05;0.0;0.25;2.95;17.77;0.0;8.1;0.0;0.0;0.0;5.85;12.1
2023-02-13;0.0;0.0;0.0;0.0;0.05;36.82;1.55;0.0;4.6;0.0;0.0;2.63;12.0;5.83;50.98;0.25;1.42;24.67;0.0;0.0;0.0;33.77;0.5
2023-02-14;0.0;0.0;2.65;0.0;0.0;32.18;1.53;0.0;0.0;0.0;0.0;2.87;21.28;0.4;21.35;0.0;0.0;1.45;1.38;0.0;0.0;0.42;11.25
2023-02-15;0.0;0.0;5.97;0.0;0.12;1.32;5.17;0.0;0.0;13.65;0.08;2.47;0.0;0.0;15.57;5.88;1.53;14.45;0.0;0.0;0.0;11.92;1.82
2023-02-16;0.0;0.0;6.67;0.0;1.77;1.28;7.32;0.0;0.0;0.0;0.17;11.67;0.0;0.0;5.68;0.0;0.0;8.03;4.1;0.0;0.0;29.42;27.8
2023-02-17;0.0;0.0;0.0;0.0;0.0;1.33;1.28;0.0;0.0;0.0;0.0;12.28;0.0;0.0;9.08;0.0;0.0;2.28;0.0;0.0;0.0;0.47;0.0
2023-02-18;0.0;0.0;0.0;0.0;0.42;13.37;6.75;0.0;1.88;0.0;4.08;5.45;0.0;38.52;3.73;23.37;2.2;20.65;0.0;0.0;0.0;19.72;0.77
2023-02-19;1.5;0.0;7.12;0.0;0.0;2.85;5.0;0.0;0.0;6.67;0.0;8.38;0.0;0.0;1.52;0.2;0.0;4.1;0.0;0.0;0.0;28.17;5.57
2023-02-20;0.0;0.0;2.85;0.0;0.0;30.4;8.78;0.0;1.07;18.68;0.0;13.87;0.0;2.65;15.38;0.0;4.88;5.6;0.0;0.0;0.0;21.53;6.53
2023-02-21;0.0;0.0;0.0;0.0;4.15;1.37;1.98;0.0;0.0;0.0;0.0;0.2;0.0;3.87;11.92;57.9;0.0;4.93;0.0;0.0;0.0;19.65;0.0
2023-02-22;0.0;0.0;0.0;0.0;0.0;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.63;0.0;0.0;2.02;0.0
2023-02-23;0.0;0.0;0.0;0.0;0.0;9.43;0.0;0.0;0.0;0.0;0.0;5.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.1
2023-02-24;0.0;0.0;0.0;0.0;0.47;9.78;0.0;0.0;0.85;0.0;0.0;0.82;0.0;5.33;10.23;0.0;0.0;5.07;0.0;0.0;0.0;0.62;0.0
2023-02-25;0.0;0.0;0.0;0.0;0.0;27.83;1.67;0.0;1.98;0.0;0.0;20.35;0.0;0.0;12.07;0.0;0.0;10.97;0.0;0.0;0.0;31.3;35.18
2023-02-26;0.0;0.0;0.0;0.0;25.1;3.12;9.23;0.0;0.63;0.0;0.0;13.95;0.0;4.5;6.33;0.0;1.18;27.65;0.0;0.0;0.0;23.0;12.72
2023-02-27;0.0;0.0;0.0;0.0;50.03;3.8;0.0;0.0;0.0;0.0;0.0;14.28;0.0;0.12;1.47;0.18;0.0;18.77;5.78;0.0;0.0;0.8;0.0
2023-02-28;0.0;0.0;0.0;0.0;3.58;6.98;0.12;0.0;0.0;8.73;0.65;11.65;0.0;5.22;24.53;1.42;0.0;10.32;0.0;0.0;0.0;30.87;32.92
2023-03-01;0.0;0.0;0.0;0.0;3.13;0.0;0.0;9.15;0.0;0.0;0.0;6.0;0.0;0.3;10.28;0.0;0.0;14.8;0.0;0.0;0.0;0.0;0.0
2023-03-02;0.0;0.0;0.0;0.0;0.0;12.7;0.9;0.0;0.75;8.4;0.0;5.27;0.0;14.55;4.37;0.0;0.0;22.52;0.0;0.0;0.0;0.82;3.48
2023-03-03;0.0;0.0;0.0;0.0;0.0;4.72;4.42;0.0;0.0;0.0;0.0;13.52;0.0;5.87;32.47;0.45;0.0;2.85;14.03;0.0;0.0;3.52;0.0
2023-03-04;121.23;0.0;0.0;0.0;0.0;0.92;0.0;0.0;6.02;3.57;0.0;9.23;0.0;0.05;12.97;0.0;4.47;6.68;0.0;0.0;0.0;0.0;19.0
2023-03-05;0.0;0.0;0.0;0.0;0.2;19.58;11.67;0.0;1.57;0.0;0.0;17.03;16.9;122.8;20.37;0.0;7.05;12.05;33.77;0.0;0.0;23.38;43.05
2023-03-06;0.0;0.0;0.0;0.0;31.47;0.63;1.17;0.0;0.0;0.0;0.0;6.85;0.0;0.28;15.4;0.0;1.37;10.28;16.18;0.0;0.0;12.5;0.0
2023-03-07;0.0;0.0;0.0;0.0;21.28;9.1;0.5;0.0;0.0;0.0;0.0;12.83;7.45;2.9;37.55;0.0;0.0;18.58;11.65;0.0;0.0;64.43;0.0
2023-03-08;0.0;0.0;0.0;0.0;4.05;3.5;2.75;2.8;0.0;0.0;0.0;3.2;2.0;0.0;16.85;0.0;2.85;5.45;0.0;0.0;0.0;36.65;0.0
2023-03-09;0.0;0.0;0.0;0.0;0.2;5.35;0.33;0.0;0.0;0.0;0.0;2.32;0.0;0.0;6.5;4.03;2.98;10.07;37.55;0.0;0.0;0.0;0.0
2023-03-10;0.0;0.0;0.0;0.0;8.87;12.73;1.22;0.0;0.0;0.0;0.0;7.82;54.4;1.82;52.47;0.0;1.28;6.4;0.0;0.0;0.0;12.85;0.0
2023-03-11;0.0;0.0;0.0;0.0;0.12;2.47;0.0;0.0;0.0;1.22;0.0;11.52;11.43;0.0;7.55;0.0;0.0;8.0;13.25;0.0;0.0;6.2;6.67
2023-03-12;0.0;0.0;0.0;0.0;0.0;0.0;3.37;0.0;0.0;0.0;0.0;7.7;12.43;0.0;15.73;0.0;0.0;1.12;0.0;0.0;0.0;1.05;0.0
2023-03-13;0.0;0.0;0.0;0.0;0.82;6.97;5.67;0.0;0.0;0.0;0.0;18.92;61.33;1.67;25.07;0.0;0.0;48.95;0.0;0.0;0.0;12.67;0.0
2023-03-14;0.0;0.0;0.0;0.0;0.17;0.0;6.43;0.0;3.35;13.07;0.05;13.15;24.87;0.0;9.5;0.0;1.42;8.42;64.58;0.0;0.0;16.0;0.0
2023-03-15;0.0;0.0;0.0;0.0;4.88;0.0;0.0;0.0;0.0;0.0;0.0;2.65;29.6;0.0;17.4;0.0;6.62;14.28;0.0;0.0;0.0;10.45;0.0
2023-03-16;0.0;0.0;0.0;0.0;0.0;1.28;0.0;0.0;0.0;0.0;0.1;2.23;16.83;2.4;3.6;0.0;2.72;1.28;13.57;0.0;0.0;5.6;0.0
2023-03-17;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.0;0.05;0.0;0.33;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.33;0.0
2023-03-19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-03-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-03-26;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-04-06;0.0;0.0;0.0;0.0;0.0;0.42;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-04-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-04-10;0.0;0.0;0.0;0.0;0.0;0.15;0.0;0.0;0.0;0.0;0.0;1.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-04-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-04-15;0.0;0.0;0.0;224.0;0.0;1.37;0.0;0.0;0.0;0.0;0.0;1.1;1.12;0.0;0.0;0.0;0.0;0.0;0.0;88.03;0.0;1.63;0.0
2023-04-16;0.0;0.0;0.0;3.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.2;0.0;0.0;0.0
2023-04-22;0.0;0.0;0.0;126.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-04-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.87;0.0;0.0;0.0;0.15;0.55;0.0;0.0;0.0;0.0;0.0;0.0
2023-05-02;0.0;0.0;0.0;0.0;0.0;0.65;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-05-21;0.0;0.0;0.0;0.0;0.0;1.72;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;2.33;0.0;0.0;0.0;0.0;0.0;0.0
2023-05-22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-05-23;0.0;0.0;0.0;0.0;0.0;0.38;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-05-29;0.0;0.0;0.0;0.0;0.0;0.45;0.0;0.0;0.0;0.0;0.0;1.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
